Name;Date;Location;Crewed or Uncrewed;High Temp;Low Temp;Ave Temp;Hist High Temp;Hist Low Temp;Hist Ave Temp;Percipitation at Launch Time;Hist Ave Percipitation;Wind Direction;Max Wind Speed;Visibility;Sea Level Pressure;Condition;Launched?;;;
Pioneer 3;4-Dic-58;Cape Canaveral;Uncrewed;75;68;71;75;55;65;0;0.08;E;16;15;30.22;Cloudy;N;;;
Pioneer 3;5-Dic-58;Cape Canaveral;Uncrewed;78;70;73.39;75;55;65;0;0.09;E;14;10;30.2;Cloudy;N;;;
Pioneer 3;6-Dic-58;Cape Canaveral;Uncrewed;73;0;60.21;75;55;65;0;0.09;NE;15;10;30.25;Cloudy;Y;;;
Pioneer 3;7-Dic-58;Cape Canaveral;Uncrewed;76;57;66.04;75;55;65;0;0.08;N;10;10;30.28;Partly Cloudy;N;;;
Pioneer 3;8-Dic-58;Cape Canaveral;Uncrewed;79;60;70.52;75;55;65;0;0.09;E;12;10;30.23;Partly Cloudy;N;;;
Pioneer 4;1-Mar-59;Cape Canaveral;Uncrewed;78;0;60.92;75;53;64;0;0.1;SE;10;10;30.13;Cloudy;N;;;
Pioneer 4;2-Mar-59;Cape Canaveral;Uncrewed;82;0;65.12;75;54;64;0;0.09;E;13;10;30.19;Partly Cloudy;N;;;
Pioneer 4;3-Mar-59;Cape Canaveral;Uncrewed;78;0;69.65;75;54;64;0;0.1;SE;20;7;30.13;Cloudy;Y;;;
Pioneer 4;4-Mar-59;Cape Canaveral;Uncrewed;77;0;66.72;75;54;65;0;0.1;SE;21;7;30.11;Cloudy;N;;;
Pioneer 4;5-Mar-59;Cape Canaveral;Uncrewed;81;67;72.63;75;54;65;0;0.1;SE;17;10;30.12;Cloudy;N;;;
Ranger 1;21-Ago-61;Cape Canaveral;Uncrewed;86;0;58.63;90;73;82;0;0.24;W;16;7;29.98;Cloudy;N;;;
Ranger 1;22-Ago-61;Cape Canaveral;Uncrewed;90;0;78.8;90;73;82;0;0.25;E;15;10;30.03;Cloudy;N;;;
Ranger 1;23-Ago-61;Cape Canaveral;Uncrewed;91;80;85.35;90;73;82;0;0.24;SE;20;10;30.03;Partly Cloudy;Y;;;
Ranger 1;24-Ago-61;Cape Canaveral;Uncrewed;91;0;81.32;90;73;82;0;0.25;E;15;10;30.01;Mostly Cloudy;N;;;
Ranger 1;25-Ago-61;Cape Canaveral;Uncrewed;90;79;84.54;90;73;82;0;0.25;NE;16;10;29.99;Partly Cloudy;N;;;
Ranger 2;16-Nov-61;Cape Canaveral;Uncrewed;80;46;62.75;78;59;69;0;0.09;W;13;10;30.01;Fair;N;;;
Ranger 2;17-Nov-61;Cape Canaveral;Uncrewed;74;0;60.12;78;59;69;0;0.09;NW;23;15;29.98;Windy;N;;;
Ranger 2;18-Nov-61;Cape Canaveral;Uncrewed;76;49;62;78;59;69;0;0.08;N;12;15;30.04;Fair;Y;;;
Ranger 2;19-Nov-61;Cape Canaveral;Uncrewed;77;48;63.25;78;59;68;0;0.08;W;10;10;30.08;Fair;N;;;
Ranger 2;20-Nov-61;Cape Canaveral;Uncrewed;83;55;69;78;58;68;0;0.07;W;17;10;30.03;Fair;N;;;
Ranger 3;24-Ene-62;Cape Canaveral;Uncrewed;70;0;56.68;72;49;61;0;0.08;NW;15;10;30.08;Cloudy;N;;;
Ranger 3;25-Ene-62;Cape Canaveral;Uncrewed;68;47;58.78;72;49;61;0;0.08;E;12;20;30.13;Fair;N;;;
Ranger 3;26-Ene-62;Cape Canaveral;Uncrewed;65;51;56.55;72;79;61;0;0.08;N;22;10;30.2;Fair;Y;;;
Ranger 3;27-Ene-62;Cape Canaveral;Uncrewed;65;41;53.48;72;50;61;0;0.08;E;17;10;30.27;Partly Cloudy;N;;;
Ranger 3;28-Ene-62;Cape Canaveral;Uncrewed;70;0;57.75;72;50;61;0;0.08;NE;60;10;30.3;Partly Cloudy;N;;;
Ranger 4;21-Abr-62;Cape Canaveral;Uncrewed;93;0;68.11;82;61;71;0;0.06;SE;13;7;30.14;Partly Cloudy;N;;;
Ranger 4;22-Abr-62;Cape Canaveral;Uncrewed;91;0;74.08;82;61;72;0.8;0.07;SE;16;7;30.13;Mostly Cloudy;N;;;
Ranger 4;23-Abr-62;Cape Canaveral;Uncrewed;76;0;67.35;82;62;72;0;0.06;NE;29;7;30.19;Cloudy;Y;;;
Ranger 4;24-Abr-62;Cape Canaveral;Uncrewed;74;0;63.48;82;62;72;0;0.07;E;22;7;30.16;Cloudy;N;;;
Ranger 4;25-Abr-62;Cape Canaveral;Uncrewed;82;0;72.48;82;62;72;0;0.06;SE;20;7;30.1;Cloudy;N;;;
Ranger 5;16-Oct-62;Cape Canaveral;Uncrewed;75;59;65.74;84;68;76;0.1;0.16;NW;14;20;30;Cloudy;N;;;
Ranger 5;17-Oct-62;Cape Canaveral;Uncrewed;79;58;69.43;84;68;76;0;0.15;NW;18;20;30.09;Cloudy;N;;;
Ranger 5;18-Oct-62;Cape Canaveral;Uncrewed;79;74;76.33;84;68;76;0;0.16;E;21;20;30.19;Cloudy;Y;;;
Ranger 5;19-Oct-62;Cape Canaveral;Uncrewed;83;76;78.32;84;67;76;0.12;0.15;E;25;20;30.14;T-Storm;N;;;
Ranger 5;20-Oct-62;Cape Canaveral;Uncrewed;84;74;78.55;83;64;75;0.05;0.16;NE;20;20;30.12;T-Storm;N;;;
Ranger 6;28-Ene-64;Cape Canaveral;Uncrewed;70;0;58.88;72;50;61;0;0.8;W;17;15;29.97;Fair;N;;;
Ranger 6;29-Ene-64;Cape Canaveral;Uncrewed;71;47;58.46;72;50;61;0.04;0.08;NW;20;10;30.04;Rain;N;;;
Ranger 6;30-Ene-64;Cape Canaveral;Uncrewed;74;44;58.74;72;50;61;0;0.08;W;15;20;30.11;Fair;Y;;;
Ranger 6;31-Ene-64;Cape Canaveral;Uncrewed;58;45;52.54;72;50;61;0;0.08;NW;30;15;30.12;Cloudy;N;;;
Ranger 6;1-Feb-64;Cape Canaveral;Uncrewed;59;39;48.52;72;50;61;0;0.09;NW;16;15;30.19;Partly Cloudy;N;;;
Ranger 7;26-Jul-64;Cape Canaveral;Uncrewed;86;77;81.05;91;73;82;0;0.21;E;9;20;30.1;Cloudy;N;;;
Ranger 7;27-Jul-64;Cape Canaveral;Uncrewed;89;0;78.92;91;73;82;0.2;0.2;SE;13;7;30.08;T-Storm;N;;;
Ranger 7;28-Jul-64;Cape Canaveral;Uncrewed;89;0;78.83;91;73;82;0;0.21;S;13;7;30.09;Cloudy;Y;;;
Ranger 7;29-Jul-64;Cape Canaveral;Uncrewed;87;79;82.67;91;73;82;0;0.21;W;10;20;30.08;Cloudy;N;;;
Ranger 7;30-Jul-64;Cape Canaveral;Uncrewed;87;0;73.67;91;73;82;0.15;0.21;E;15;20;30.03;Rain;N;;;
Ranger 8;15-Feb-65;Cape Canaveral;Uncrewed;54;35;44.57;74;52;63;0;0.09;W;14;15;30.12;Cloudy;N;;;
Ranger 8;16-Feb-65;Cape Canaveral;Uncrewed;63;34;48.96;74;52;63;0;0.1;W;15;25;30.2;Fair;N;;;
Ranger 8;17-Feb-65;Cape Canaveral;Uncrewed;68;0;51.67;74;52;63;0;0.09;E;12;20;30.29;Partly Cloudy;Y;;;
Ranger 8;18-Feb-65;Cape Canaveral;Uncrewed;72;48;60.41;74;52;63;0.02;0.08;NE;14;20;30.33;Thunder;N;;;
Ranger 8;19-Feb-65;Cape Canaveral;Uncrewed;75;54;65.17;74;52;63;0;0.09;NE;15;15;30.26;Partly Cloudy;N;;;
Ranger 9;19-Mar-65;Cape Canaveral;Uncrewed;69;43;58.54;77;55;66;0.15;0.12;E;13;25;30.24;Rain;N;;;
Ranger 9;20-Mar-65;Cape Canaveral;Uncrewed;73;62;67.21;77;56;66;0;0.12;E;16;15;30.21;Partly Cloudy;N;;;
Ranger 9;21-Mar-65;Cape Canaveral;Uncrewed;71;0;51.24;77;56;67;0.03;0.11;NE;23;15;30;Cloudy;Y;;;
Ranger 9;22-Mar-65;Cape Canaveral;Uncrewed;86;0;69.29;77;56;67;0;0.1;E;17;15;26.5;Partly Cloudy;N;;;
Ranger 9;23-Mar-65;Cape Canaveral;Uncrewed;79;56;65.04;78;56;67;0;0.11;E;17;10;29.99;Fair;N;;;
Surveyor 1;28-May-66;Cape Canaveral;Uncrewed;85;78;80.54;87;70;79;0.14;0.15;SE;16;10;30.54;Rain;N;;;
Surveyor 1;29-May-66;Cape Canaveral;Uncrewed;83;0;73.77;88;70;79;0;0.16;SE;16;10;30.04;Fair;N;;;
Surveyor 1;30-May-66;Cape Canaveral;Uncrewed;85;66;77.83;88;70;79;0;0.16;E;17;10;29.99;Partly Cloudy;Y;;;
Surveyor 1;31-May-66;Cape Canaveral;Uncrewed;86;71;79.5;88;70;79;0;0.16;S;20;20;29.91;Partly Cloudy;N;;;
Surveyor 1;1-Jun-66;Cape Canaveral;Uncrewed;88;75;81.5;88;70;79;0.24;0.19;SE;17;20;29.97;T-Storm;N;;;
Surveyor 2;18-Set-66;Cape Canaveral;Uncrewed;85;0;74.58;88;73;81;0;0.27;E;17;10;30.14;Cloudy;N;;;
Surveyor 2;19-Set-66;Cape Canaveral;Uncrewed;91;0;64.9;88;73;81;0;0.27;E;23;7;30.17;Partly Cloudy;N;;;
Surveyor 2;20-Set-66;Cape Canaveral;Uncrewed;86;76;81.75;88;73;80;0;0.26;E;17;20;30.18;Partly Cloudy;Y;;;
Surveyor 2;21-Set-66;Cape Canaveral;Uncrewed;86;74;81;88;73;80;0.8;0.26;NE;16;20;30.14;Rain;N;;;
Surveyor 2;22-Set-66;Cape Canaveral;Uncrewed;85;73;80.39;88;73;80;0;0.25;E;14;20;30.08;Partly Cloudy;N;;;
Surveyor 3;15-Abr-67;Cape Canaveral;Uncrewed;80;0;63.64;81;60;70;0.1;0.06;S;23;10;29.96;Cloudy;N;;;
Surveyor 3;16-Abr-67;Cape Canaveral;Uncrewed;78;58;69.05;81;60;70;0.04;0.07;W;21;10;29.8;T-Storm;N;;;
Surveyor 3;17-Abr-67;Cape Canaveral;Uncrewed;76;61;67.75;81;60;71;0;0.06;NW;23;10;29.75;Fair;Y;;;
Surveyor 3;18-Abr-67;Cape Canaveral;Uncrewed;81;0;62.32;81;60;71;0;0.07;W;24;10;29.81;Cloudy;N;;;
Surveyor 3;19-Abr-67;Cape Canaveral;Uncrewed;76;55;66.33;81;61;71;0;0.06;W;21;10;29.98;Fair;N;;;
Surveyor 4;12-Jul-67;Cape Canaveral;Uncrewed;94;0;76;91;73;82;0.1;0.19;S;17;10;30.01;Rain;N;;;
Surveyor 4;13-Jul-67;Cape Canaveral;Uncrewed;93;0;67.69;91;73;82;0.4;0.18;W;23;7;29.96;T-Storm;N;;;
Surveyor 4;14-Jul-67;Cape Canaveral;Uncrewed;96;0;59.53;91;73;82;0.1;0.17;W;17;7;29.98;Rain;Y;;;
Surveyor 4;15-Jul-67;Cape Canaveral;Uncrewed;88;0;69.81;91;73;82;0.5;0.18;SW;15;7;29.99;Thunder;N;;;
Surveyor 4;16-Jul-67;Cape Canaveral;Uncrewed;88;0;62.39;91;73;82;0;0.17;SW;21;15;30.03;Cloudy;N;;;
Surveyor 5;6-Set-67;Cape Canaveral;Uncrewed;87;0;75.78;89;73;81;0;0.24;NE;17;15;29.92;Cloudy;N;;;
Surveyor 5;7-Set-67;Cape Canaveral;Uncrewed;87;75;80.22;89;73;81;0;0.24;N;14;15;29.9;Partly Cloudy;N;;;
Surveyor 5;8-Set-67;Cape Canaveral;Uncrewed;88;75;81.17;89;73;81;0;0.24;NE;13;10;29.93;Fair;Y;;;
Surveyor 5;9-Set-67;Cape Canaveral;Uncrewed;89;0;75.21;89;73;80;0;0.24;E;17;10;29.99;Rain;N;;;
Surveyor 5;10-Set-67;Cape Canaveral;Uncrewed;87;0;73.29;89;73;81;0.2;0.24;E;17;10;30.03;Rain;N;;;
Surveyor 6;5-Nov-67;Cape Canaveral;Uncrewed;78;0;54.68;80;62;71;0.1;0.12;W;15;15;29.88;Cloudy;N;;;
Surveyor 6;6-Nov-67;Cape Canaveral;Uncrewed;78;0;63.68;80;62;71;0;0.11;W;25;7;30.1;Cloudy;N;;;
Surveyor 6;7-Nov-67;Cape Canaveral;Uncrewed;78;74;75.19;80;62;71;0;0.12;E;21;10;30.19;Partly Cloudly;Y;;;
Surveyor 6;8-Nov-67;Cape Canaveral;Uncrewed;80;73;76.61;80;61;71;0;0.12;E;18;10;30.19;Cloudy;N;;;
Surveyor 6;9-Nov-67;Cape Canaveral;Uncrewed;83;0;68.33;80;61;70;0;0.11;NE;16;10;30.1;Partly Cloudy;N;;;
Surveyor 7;5-Ene-68;Cape Canaveral;Uncrewed;64;49;56.22;71;49;60;0;0.07;NW;28;10;30.29;Cloudy;N;;;
Surveyor 7;6-Ene-68;Cape Canaveral;Uncrewed;71;0;60.17;71;49;60;0;0.06;NW;17;10;30.26;Fair;N;;;
Surveyor 7;7-Ene-68;Cape Canaveral;Uncrewed;77;0;63.38;71;49;60;0;0.07;SE;18;10;31.21;Cloudy;Y;;;
Surveyor 7;8-Ene-68;Cape Canaveral;Uncrewed;74;0;44.97;71;49;60;0.05;0.07;W;16;7;30.09;Rain;N;;;
Surveyor 7;9-Ene-68;Cape Canaveral;Uncrewed;63;0;43.97;71;49;60;0;0.07;W;21;7;30.11;Cloudy;N;;;
Mariner 4;26-Nov-64;Cape Canaveral;Uncrewed;80;69;74.3;77;57;67;0.12;0.09;E;21;20;30.07;Thunder;N;;;
Mariner 4;27-Nov-64;Cape Canaveral;Uncrewed;83;0;68.12;77;57;67;0;0.09;E;18;15;30.01;Cloudy;N;;;
Mariner 4;28-Nov-64;Cape Canaveral;Uncrewed;77;0;55.28;76;57;67;0;0.09;W;23;20;30.19;Partly Cloudy;Y;;;
Mariner 4;29-Nov-64;Cape Canaveral;Uncrewed;71;49;61.43;76;55;66;0;0.09;W;15;15;30.21;Cloudy;N;;;
Mariner 4;30-Nov-64;Cape Canaveral;Uncrewed;79;0;64.04;76;56;66;0.12;0.08;NW;17;20;30.16;T-Storm;N;;;
Mariner 6/7;23-Feb-70;Cape Canaveral;Uncrewed;85;0;69.74;74;53;64;0;0.09;W;9;10;30.1;Partly Cloudy;N;;;
Mariner 6/7;24-Feb-70;Cape Canaveral;Uncrewed;86;0;61.25;75;53;64;0;0.09;W;13;10;30.11;Fair;N;;;
Mariner 6/7;25-Feb-70;Cape Canaveral;Uncrewed;80;0;60.2;75;53;64;0;0.1;NW;14;10;30.03;Partly Cloudy;Y;;;
Mariner 6/7;26-Feb-70;Cape Canaveral;Uncrewed;62;48;52.48;75;53;64;0;0.1;W;20;15;30.3;Cloudy;N;;;
Mariner 6/7;27-Feb-70;Cape Canaveral;Uncrewed;69;41;54.26;75;53;64;0;0.1;W;9;10;30.29;Fair;N;;;
;7-May-71;Cape Canaveral;Uncrewed;79;0;65.93;84;65;75;0.08;0.07;NE;21;10;29.98;Cloudy;N;;;
;8-May-71;Cape Canaveral;Uncrewed;82;64;73.58;82;64;73.58;0;0.09;NE;21;7;29.92;Fair;N;;;
Mariner 8;9-May-71;Cape Canaveral;Uncrewed;83;68;75.45;82;64;75;0;0.08;E;15;8;30.2;Partly Cloudy;Y;;;
;10-May-71;Cape Canaveral;Uncrewed;91;68;79.58;85;66;75;0;0.08;NE;16;10;29.92;Cloudy;N;;;
;11-May-71;Cape Canaveral;Uncrewed;95;0;74.5;85;66;75;0.12;0.09;W;15;7;29.91;Rain;N;;;
;28-May-71;Cape Canaveral;Uncrewed;89;0;61.23;87;70;79;0.21;0.15;SW;14;10;29.91;T-Storm;N;;;
;29-May-71;Cape Canaveral;Uncrewed;93;70;80.46;88;70;79;0.03;0.16;SE;15;15;29.92;Cloudy;N;;;
Mariner 9;30-May-71;Cape Canaveral;Uncrewed;90;75;82.88;88;70;79;0;0.16;S;17;7;29.95;Fair;Y;;;
;31-May-71;Cape Canaveral;Uncrewed;90;77;82.83;88;70;79;0;0.16;SW;17;10;29.98;Cloudy;N;;;
;1-Jun-71;Cape Canaveral;Uncrewed;90;76;82.39;88;70;79;0;0.19;S;23;10;30.04;Partly Cloudy;N;;;
;1-Ene-99;Cape Canaveral;Uncrewed;75;55;65.43;71;50;61;0;0.07;E;15;10;30.15;Fair;N;;;
;2-Ene-99;Cape Canaveral;Uncrewed;79;70;73.71;71;50;60;0.11;0.07;SE;17;7;30.05;Rain;N;;;
Deep Space 2;3-Ene-99;Cape Canaveral;Uncrewed;75;59;67.96;71;50;60;0;0.07;SW;21;10;30.09;Cloudy;Y;;;
;4-Ene-99;Cape Canaveral;Uncrewed;57;43;50.82;71;49;60;0;0.07;NW;17;10;30.29;Fair;N;;;
;5-Ene-99;Cape Canaveral;Uncrewed;52;36;43.14;71;49;60;0;0.07;W;16;10;30.41;Fair;N;;;
;24-Nov-11;Cape Canaveral;Uncrewed;66;52;60.15;79;61;70;0;0.11;N;20;10;30.16;Fair;N;;;
;25-Nov-11;Cape Canaveral;Uncrewed;76;68;71.57;77;57;67;0;0.07;E;18;10;30.22;Cloudy;N;;;
Curiosity;26-Nov-11;Cape Canaveral;Uncrewed;78;71;73.87;77;57;67;0;0.09;E;18;10;30.2;Cloudy;Y;;;
;27-Nov-11;Cape Canaveral;Uncrewed;79;72;74.52;77;57;67;0;0.09;SE;15;10;30.09;Fair;N;;;
;28-Nov-11;Cape Canaveral;Uncrewed;81;61;71.13;76;57;67;0;0.09;S;17;10;29.94;Cloudy;N;;;
;16-Nov-13;Cape Canaveral;Uncrewed;81;71;75.35;78;59;69;0;0.09;SE;13;10;30.1;Cloudy;N;;;
;17-Nov-13;Cape Canaveral;Uncrewed;83;73;77.43;78;59;69;0;0.09;SE;16;10;30.06;Fair;N;;;
Maven;18-Nov-13;Cape Canaveral;Uncrewed;86;69;76.39;78;59;69;0;0.08;W;9;10;29.99;Fair;Y;;;
;19-Nov-13;Cape Canaveral;Uncrewed;80;69;73.14;78;59;68;0;0.08;N;14;10;29.93;Cloudy;N;;;
;20-Nov-13;Cape Canaveral;Uncrewed;78;70;73.43;78;58;68;0;0.07;SW;17;10;30.07;Cloudy;N;;;
;2-Ago-07;Cape Canaveral;Uncrewed;88;75;79.82;91;73;82;0;0.24;N;15;10;30;Cloudy;N;;;
;3-Ago-07;Cape Canaveral;Uncrewed;93;76;83.52;91;73;82;0;0.23;S;12;10;30.03;Fair;N;;;
Phoenix;4-Ago-07;Cape Canaveral;Uncrewed;94;75;83.91;91;73;82;0;0.23;W;12;10;30.06;Fair;Y;;;
;5-Ago-07;Cape Canaveral;Uncrewed;92;77;84.13;91;73;82;0;0.23;W;12;10;30.03;Fair;N;;;
;6-Ago-07;Cape Canaveral;Uncrewed;93;78;84.87;91;73;82;0;0.24;E;12;10;29.99;Fair;N;;;
;7-Set-75;Cape Canaveral;Uncrewed;87;75;80.22;89;73;81;0;0.24;S;14;15;29.9;Partly Cloudy;N;;;
;8-Set-75;Cape Canaveral;Uncrewed;88;75;81.17;89;73;81;0;0.24;NW;13;10;29.93;Fair;N;;;
Viking 2;9-Set-75;Cape Canaveral;Uncrewed;89;0;75.21;89;73;81;0;0.24;NE;17;10;29.99;Partly Cloudy;Y;;;
;10-Set-75;Cape Canaveral;Uncrewed;87;0;73.29;89;73;81;0;0.23;SE;17;10;30.03;Partly Cloudy;N;;;
;11-Set-75;Cape Canaveral;Uncrewed;90;0;79.28;89;73;81;0;0.25;SE;21;10;30.06;Cloudy;N;;;
;13-Oct-97;Cape Canaveral;Uncrewed;84;72;78.52;85;69;77;0;0.16;E;15;7;30.05;Fair;N;;;
;14-Oct-97;Cape Canaveral;Uncrewed;84;75;79.09;85;69;77;0;0.16;E;17;10;30.01;Partly Cloudy;N;;;
Cassini-Huygens;15-Oct-97;Cape Canaveral;Uncrewed;82;73;77.63;84;68;76;0;0.16;NE;17;10;29.99;Cloudy;Y;;;
;16-Oct-97;Cape Canaveral;Uncrewed;82;66;74.87;84;68;76;0;0.16;NE;12;10;29.95;Partly Cloudy;N;;;
;17-Oct-97;Cape Canaveral;Uncrewed;81;64;73.83;84;68;76;0;0.15;NE;12;10;29.92;Partly Cloudy;N;;;
;25-Set-07;Cape Canaveral;Uncrewed;87;77;82.06;88;72;80;0.08;0.25;E;17;10;30.02;Partly Cloudy;N;;;
;26-Set-07;Cape Canaveral;Uncrewed;84;74;78.67;87;72;80;0.4;0.26;NE;18;10;29.98;Cloudy;N;;;
